date,price,unit,title
08/11/2022,14880,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/10/2022,14880,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/09/2022,14880,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/08/2022,14880,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/07/2022,14880,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/06/2022,15180,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/05/2022,15180,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/04/2022,15180,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/03/2022,15180,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/02/2022,15180,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/01/2022,15180,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/31/2022,15380,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/30/2022,15380,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/29/2022,15380,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/28/2022,15380,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/27/2022,15380,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/26/2022,15380,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/25/2022,15690,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/24/2022,15690,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/23/2022,15690,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/22/2022,15690,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/21/2022,15690,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/20/2022,15990,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/19/2022,15990,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/18/2022,15990,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/17/2022,15990,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/16/2022,15990,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/15/2022,16240,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/14/2022,16240,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/13/2022,16240,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/12/2022,16240,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/11/2022,16240,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/10/2022,16240,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/09/2022,16240,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/08/2022,16240,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/07/2022,16240,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/06/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/05/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/04/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/03/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/02/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/01/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/30/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/29/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/28/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/27/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/26/2022,16500,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/25/2022,16650,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/24/2022,16650,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/23/2022,16650,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/22/2022,16650,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/21/2022,16650,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/20/2022,16650,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/19/2022,16650,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/18/2022,16650,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/17/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/16/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/15/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/14/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/13/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/12/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/11/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/10/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/09/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/08/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/07/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/06/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/05/2022,16950,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/04/2022,17250,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/03/2022,17250,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/02/2022,17250,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/01/2022,17250,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/31/2022,17250,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/30/2022,17460,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/29/2022,17460,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/28/2022,17460,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/27/2022,17460,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/26/2022,17460,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/25/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/24/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/23/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/22/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/21/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/20/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/19/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/18/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/17/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/16/2022,17830,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/15/2022,18630,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/14/2022,18630,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/13/2022,18630,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/12/2022,18630,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/11/2022,18630,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/10/2022,18630,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/09/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/07/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/06/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/05/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/04/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/03/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/02/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
05/01/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/30/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/29/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/28/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/27/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/26/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/25/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/24/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/23/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/22/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/21/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/20/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/19/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/18/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/17/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/16/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/15/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/14/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/13/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/12/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/11/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/10/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/09/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/08/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/07/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/06/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/05/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/04/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/03/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/02/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
04/01/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/31/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/30/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/29/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/28/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/27/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/26/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/25/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/24/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/23/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/22/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/21/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/20/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/19/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/18/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/17/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/16/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/15/2022,18940,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/14/2022,18330,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/13/2022,18330,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/12/2022,18330,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/11/2022,18330,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/10/2022,18330,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/09/2022,18330,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/08/2022,17730,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/07/2022,17730,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/06/2022,17730,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/05/2022,17730,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/04/2022,17320,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/03/2022,17320,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/02/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
03/01/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/28/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/27/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/26/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/25/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/24/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/23/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/22/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/21/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/20/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/19/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/18/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/17/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/16/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/15/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/14/2022,17020,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/13/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/12/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/11/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/10/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/09/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/08/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/07/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/06/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/05/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/04/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/03/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/02/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
02/01/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/31/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/30/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/29/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/28/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/27/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/26/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/25/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/24/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/23/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/22/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/21/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/20/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/19/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/18/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/17/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/16/2022,16720,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/15/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/14/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/13/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/12/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/11/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/10/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/09/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/08/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/07/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/06/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/05/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/04/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/03/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/02/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
01/01/2022,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/31/2021,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/30/2021,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/29/2021,16410,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/28/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/27/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/26/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/25/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/24/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/23/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/22/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/21/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/20/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/19/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/18/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/17/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/16/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/15/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/14/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/13/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/12/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/11/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/10/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/09/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/08/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/07/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/06/2021,16260,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/05/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/04/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/03/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/02/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
12/01/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/30/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/29/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/28/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/27/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/26/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/25/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/24/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/23/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/22/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/21/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/20/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/19/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/18/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/17/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/16/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/15/2021,16660,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/14/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/13/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/12/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/11/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/10/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/09/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/08/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/07/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/06/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/05/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/04/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/03/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/02/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
11/01/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/31/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/30/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/29/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/28/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/27/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/26/2021,16970,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/25/2021,16770,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/24/2021,16770,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/23/2021,16770,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/22/2021,16770,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/21/2021,16770,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/20/2021,16770,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/19/2021,16770,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/18/2021,16770,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/17/2021,16770,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/16/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/15/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/14/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/13/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/12/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/11/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/10/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/09/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/08/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/07/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/06/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/05/2021,16510,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/04/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/03/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/02/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
10/01/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/30/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/29/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/28/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/27/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/26/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/25/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/24/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/23/2021,16310,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/22/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/21/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/20/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/19/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/18/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/17/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/16/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/15/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/14/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/13/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/12/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/11/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/10/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/09/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/08/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/07/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/06/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/05/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/04/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/03/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/02/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
09/01/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/31/2021,16160,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/30/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/29/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/28/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/27/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/26/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/25/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/24/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/23/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/22/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/21/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/20/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/19/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/18/2021,16090,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
