02/28/2023,1540,trieu USD
11/30/2022,-1201,trieu USD
08/31/2022,-15600,trieu USD
05/31/2022,-4997,trieu USD
02/28/2022,-947,trieu USD
11/30/2021,2115,trieu USD
08/31/2021,7234,trieu USD
05/31/2021,1505,trieu USD
02/28/2021,3436,trieu USD
11/30/2020,6252,trieu USD
08/31/2020,5259,trieu USD
05/31/2020,2005,trieu USD
02/29/2020,3116,trieu USD
11/30/2019,9260,trieu USD
08/31/2019,4851,trieu USD
05/31/2019,1930,trieu USD
02/28/2019,7213,trieu USD
11/30/2018,-1927,trieu USD
08/31/2018,-497,trieu USD
05/31/2018,1180,trieu USD
02/28/2018,7275,trieu USD
11/30/2017,7733,trieu USD
08/31/2017,2302,trieu USD
05/31/2017,1061,trieu USD
02/28/2017,1448,trieu USD
11/30/2016,-1263,trieu USD
08/31/2016,2978,trieu USD
05/31/2016,3211,trieu USD
02/29/2016,3464,trieu USD
11/30/2015,-2655,trieu USD
08/31/2015,-6594,trieu USD
05/31/2015,555,trieu USD
02/28/2015,2662,trieu USD
11/30/2014,-262,trieu USD
08/31/2014,845,trieu USD
05/31/2014,2231,trieu USD
02/28/2014,7919,trieu USD
11/30/2013,1652,trieu USD
08/31/2013,-800,trieu USD
05/31/2013,-3339,trieu USD
02/28/2013,3044,trieu USD
11/30/2012,3679,trieu USD
08/31/2012,1737,trieu USD
05/31/2012,2169,trieu USD
02/29/2012,4282,trieu USD
